"date","timestamp","telpost","speciesname","speciesid","count","countback","local","location","age","sex","plumage","counttype","migtype","remark","yday","year"
"2008-08-21","10:57:00","1","HB",86,1,"","","E3","","","","","","",234,2008
"2008-08-21","11:00:00","1","HB",86,1,"","","E3","","","","","","",234,2008
"2008-08-21","11:00:00","1","LargeEAGLE",1151,1,"","","E3","","","","","","",234,2008
"2008-08-21","11:07:00","1","Mar",95,1,"","","E2","juv","","","","","",234,2008
"2008-08-21","11:10:00","1","Mar",95,1,"","","E2","","fc","","","","",234,2008
"2008-08-21","11:17:00","1","HB",86,1,"","","E2","","","","","","",234,2008
"2008-08-21","11:19:00","1","BootedE",592,1,"","","E2","","","","","","",234,2008
"2008-08-21","11:20:00","1","HB",86,2,"","","E3","","","","","","",234,2008
"2008-08-21","11:20:00","1","MediumRaptor",1103,1,"","","E3","","","","","","",234,2008
"2008-08-21","11:32:00","1","HB",86,1,"","","E3","","","","","","",234,2008
"2008-08-21","12:00:00","1","HB",86,3,"","","E2","","","","","","",234,2008
"2008-08-21","12:06:00","1","MonPalHen",1102,1,"","","E2","","fc","","","","",234,2008
"2008-08-21","12:12:00","1","HB",86,2,"","","E2","","","","","","",234,2008
"2008-08-21","12:17:00","1","BootedE",592,1,"","","E2","","","","","","",234,2008
"2008-08-21","12:35:00","1","HB",86,5,"","","E2","","","","","","",234,2008
"2008-08-21","12:35:00","1","SparrowH-SPEC",1101,2,"","","E2","","","","","","",234,2008
"2008-08-21","12:36:00","1","HB",86,1,"","","E2","","","","","","",234,2008
"2008-08-21","12:45:00","1","HB",86,2,"","","E3","","","","","","",234,2008
"2008-08-21","13:13:00","1","MediumRaptor",1103,1,"","","E3","","","","","","",234,2008
"2008-08-21","13:40:00","1","Mon",98,1,"","","E1","ad","f","","","","",234,2008
"2008-08-21","13:40:00","1","Mon",98,2,"","","E1","ad","m","","","","",234,2008
"2008-08-21","13:55:00","1","StepBuz",102,1,"","","E2","","","","","","",234,2008
"2008-08-21","13:57:00","1","LevantSH",1019,1,"","","W2","","","","","","",234,2008
"2008-08-21","14:18:00","1","HB",86,3,"","","E3","","","","","","",234,2008
"2008-08-21","14:23:00","1","HB",86,3,"","","E3","","","","","","",234,2008
"2008-08-21","14:23:00","1","Mon",98,2,"","","E3","ad","m","","","","",234,2008
"2008-08-21","14:30:00","1","StepBuz",102,2,"","","E2","","","","","","",234,2008
"2008-08-21","14:37:00","1","HB",86,1,"","","E2","","","","","","",234,2008
"2008-08-21","14:37:00","1","ShortTE",94,1,"","","E2","","","","","","",234,2008
"2008-08-21","14:40:00","1","MonPalHen",1102,1,"","","E2","","fc","","","","",234,2008
"2008-08-21","14:43:00","1","HB",86,1,"","","E2","","","","","","",234,2008
"2008-08-21","14:49:00","1","HB",86,44,"","","E3","","","","","","",234,2008
"2008-08-21","14:52:00","1","HB",86,11,"","","E3","","","","","","",234,2008
"2008-08-21","15:07:00","1","HB",86,1,"","","E1","","","","","","",234,2008
"2008-08-21","15:09:00","1","BootedE",592,1,"","","E2","","","","","","",234,2008
"2008-08-21","15:09:00","1","HB",86,2,"","","E2","","","","","","",234,2008
"2008-08-21","15:14:00","1","WhiStork",32,12,"","","E2","","","","","","",234,2008
"2008-08-21","15:15:00","1","StepBuz",102,1,"","","E2","","","","","","",234,2008
"2008-08-21","15:17:00","1","Mon",98,1,"","","W1","ad","f","","","","",234,2008
"2008-08-21","15:17:00","1","Mon",98,2,"","","W1","ad","m","","","","",234,2008
"2008-08-21","15:27:00","1","BootedE",592,1,"","","E2","","","","","","",234,2008
"2008-08-21","15:27:00","1","HB",86,4,"","","E2","","","","","","",234,2008
"2008-08-21","15:27:00","1","Mar",95,1,"","","E2","juv","","","","","",234,2008
"2008-08-21","15:28:00","1","Mon",98,1,"","","E2","ad","m","","","","",234,2008
"2008-08-21","15:35:00","1","HB",86,31,"","","E2","","","","","","",234,2008
"2008-08-21","15:42:00","1","HB",86,2,"","","E2","","","","","","",234,2008
"2008-08-21","15:43:00","1","BootedE",592,1,"","","E2","","","","","","",234,2008
"2008-08-21","15:51:00","1","BootedE",592,1,"","","E1","","","","","","",234,2008
"2008-08-21","16:03:00","1","HB",86,12,"","","E2","","","","","","",234,2008
"2008-08-21","16:05:00","1","HB",86,4,"","","E2","","","","","","",234,2008
"2008-08-21","16:05:00","1","HB",86,22,"","","E2","","","","","","",234,2008
"2008-08-21","16:05:00","1","HB",86,4,"","","E2","","","","","","",234,2008
"2008-08-21","16:05:00","1","MonPalHen",1102,1,"","","E2","","","","","","",234,2008
"2008-08-21","16:06:00","1","HB",86,9,"","","E2","","","","","","",234,2008
"2008-08-21","16:06:00","1","MonPalHen",1102,1,"","","E2","ad","m","","","","",234,2008
"2008-08-21","16:10:00","1","Mon",98,1,"","","E2","ad","f","","","","",234,2008
"2008-08-21","16:10:00","1","Mon",98,1,"","","E2","ad","m","","","","",234,2008
"2008-08-21","16:10:00","1","MonPalHen",1102,1,"","","E2","","","","","","",234,2008
"2008-08-21","16:14:00","1","HB",86,3,"","","E2","","","","","","",234,2008
"2008-08-21","16:14:00","1","HB",86,1,"","","E2","","","","","","",234,2008
"2008-08-21","16:14:00","1","Mon",98,2,"","","E2","","","","","","",234,2008
