date,timestamp,countid,telpost,speciesname,speciesid,count,countback,local,age,sex,plumage,remark,location,migtype,counttype,year,yday
2008-08-21,,523250,1047,"raptor sp.",997,19,0,0,,,,,,,,2008,234
2008-08-21,,523250,1047,"harrier sp",584,2,0,0,,,,,,,,2008,234
2008-08-21,,523250,1047,WhiStork,32,12,0,0,,,,,,,,2008,234
2008-08-21,,523250,1047,BootedE,592,9,0,0,,,,,,,,2008,234
2008-08-21,,523250,1047,"Eagle sp.",591,1,0,0,,,,,,,,2008,234
2008-08-21,,523250,1047,StepBuz,102,4,0,0,,,,,,,,2008,234
2008-08-21,,523250,1047,LevantS/Sparrow,1101,2,0,0,,,,,,,,2008,234
2008-08-21,,523250,1047,LevantS,1019,1,0,0,,,,,,,,2008,234
2008-08-21,,523250,1047,MonPal,912,9,0,0,,,,,,,,2008,234
2008-08-21,,523250,1047,Mon,98,15,0,0,,,,,,,,2008,234
2008-08-21,,523250,1047,ShortTE,94,1,0,0,,,,,,,,2008,234
2008-08-21,,523250,1047,Mar,95,8,0,0,,,,,,,,2008,234
2008-08-21,,523250,1047,HB,86,199,0,0,,,,,,,,2008,234
2008-08-22,,523251,1047,LSE/GSP/SE,1103,2,0,0,,,,,,,,2008,235
2008-08-22,,523251,1047,"Eagle sp.",591,5,0,0,,,,,,,,2008,235
2008-08-22,,523251,1047,BootedE,592,5,0,0,,,,,,,,2008,235
2008-08-22,,523251,1047,Buz/HonBuz,999,1,0,0,,,,,,,,2008,235
2008-08-22,,523251,1047,Osprey,109,1,0,0,,,,,,,,2008,235
2008-08-22,,523251,1047,"raptor sp.",997,2,0,0,,,,,,,,2008,235
2008-08-22,,523251,1047,BlaStork,31,1,0,0,,,,,,,,2008,235
2008-08-22,,523251,1047,WhiStork,32,1,0,0,,,,,,,,2008,235
2008-08-22,,523251,1047,HB,86,653,0,0,,,,,,,,2008,235
2008-08-22,,523251,1047,BlaKite,88,10,0,0,,,,,,,,2008,235
2008-08-22,,523251,1047,ShortTE,94,1,0,0,,,,,,,,2008,235
2008-08-22,,523251,1047,Mar,95,12,0,0,,,,,,,,2008,235
2008-08-22,,523251,1047,Mon,98,12,0,0,,,,,,,,2008,235
2008-08-22,,523251,1047,MonPal,912,9,0,0,,,,,,,,2008,235
2008-08-22,,523251,1047,LevantS,1019,1,0,0,,,,,,,,2008,235
2008-08-22,,523251,1047,LevantS/Sparrow,1101,1,0,0,,,,,,,,2008,235
2008-08-22,,523251,1047,StepBuz,102,5,0,0,,,,,,,,2008,235
2008-08-22,,523251,1047,LongLB,103,1,0,0,,,,,,,,2008,235
2008-08-23,,523252,1047,MonPal,912,33,0,0,,,,,,,,2008,236
2008-08-23,,523252,1047,Roller,255,33,0,0,,,,,,,,2008,236
2008-08-23,,523252,1047,"raptor sp.",997,1,0,0,,,,,,,,2008,236
2008-08-23,,523252,1047,Hobby,113,1,0,0,,,,,,,,2008,236
2008-08-23,,523252,1047,BootedE,592,45,0,0,,,,,,,,2008,236
2008-08-23,,523252,1047,"Eagle sp.",591,1,0,0,,,,,,,,2008,236
2008-08-23,,523252,1047,LesserSE,105,2,0,0,,,,,,,,2008,236
2008-08-23,,523252,1047,LongLB,103,1,0,0,,,,,,,,2008,236
2008-08-23,,523252,1047,MonPalHen,1102,7,0,0,,,,,,,,2008,236
2008-08-23,,523252,1047,Mon,98,17,0,0,,,,,,,,2008,236
2008-08-23,,523252,1047,Mar,95,13,0,0,,,,,,,,2008,236
2008-08-23,,523252,1047,BlaKite,88,332,0,0,,,,,,,,2008,236
2008-08-23,,523252,1047,HB,86,5260,0,0,,,,,,,,2008,236
2008-08-23,,523252,1047,BlaStork,31,2,0,0,,,,,,,,2008,236
2008-08-24,,523253,1047,BlaStork,31,4,0,0,,,,,,,,2008,237
2008-08-24,,523253,1047,LongLB,103,4,0,0,,,,,,,,2008,237
2008-08-24,,523253,1047,HB,86,2439,0,0,,,,,,,,2008,237
2008-08-24,,523253,1047,StepBuz,102,11,0,0,,,,,,,,2008,237
