date,timestamp,countid,telpost,speciesname,speciesid,count,countback,local,location,age,sex,plumage,counttype,migtype,remark,Low,Age_det
2009-08-21,08:52:00,,2,HB,,1,,,W1,,,,,,,0,
2009-08-21,08:57:00,,2,HB,,1,,,E1,,,,,,,0,
2009-08-21,09:13:00,,2,HB,,2,,,O,,,,,,,0,
2009-08-21,09:13:00,,2,Mon,,2,,,W1,Ad,F,,,,,0,Ad
2009-08-21,09:13:00,,2,Mon,,1,,,W1,,FC,,,,,0,
2009-08-21,09:13:00,,2,Mon,,1,,,W1,Ad,M,,,,,0,Ad
2009-08-21,09:15:00,,2,HB,,11,,,E1,,,,,,,0,
2009-08-21,09:15:00,,2,Mar,,2,,,E1,,,,,,,0,
2009-08-21,09:15:00,,2,Mon,,1,,,E1,,FC,,,,,0,
2009-08-21,09:15:00,,2,Mon,,1,,,E1,Ad,M,,,,,0,Ad
2009-08-21,09:18:00,,2,Mon,,1,,,O,Imm,M,,,,,0,2ndcy
2009-08-21,09:20:00,,2,HB,,1,,,E2,Ad,,,,,,0,Ad
2009-08-21,09:22:00,,2,HB,,1,,,E1,Ad,,,,,,0,Ad
2009-08-21,09:22:00,,2,HB,,1,,,E1,Juv,,,,,,0,Juv
2009-08-21,09:25:00,,2,HB,,10,,,O,,,,,,,0,
2009-08-21,09:28:00,,2,BK,,1,,,W3,Ad,,,,,,0,Ad
2009-08-21,09:31:00,,2,HB,,2,,,E2,Ad,,,,,,0,Ad
2009-08-21,09:33:00,,2,HB,,1,,,E1,Ad,,,,,,0,Ad
2009-08-21,09:34:00,,2,HB,,1,,,O,Ad,F,,,,,0,Ad
2009-08-21,09:36:00,,2,CB,,1,,,O,Ad,,,,,,0,Ad
2009-08-21,09:36:00,,2,HB,,1,,,O,Juv,,,,,,0,Juv
2009-08-21,09:36:00,,2,HB,,2,,,O,,,,,,,0,
2009-08-21,09:39:00,,2,CB,,1,,,O,,,,,,,0,
2009-08-21,09:46:00,,2,ESPH,,1,,,O,,F,,,,,0,
2009-08-21,09:46:00,,2,HB,,2,,,O,Ad,,,,,,0,Ad
2009-08-21,09:47:00,,2,HB,,2,,,E3,,,,,,,0,
2009-08-21,09:49:00,,2,HB,,3,,,E3,Ad,,,,,,0,Ad
2009-08-21,09:54:00,,2,BE,,1,,,O,,,,,,,0,
2009-08-21,09:59:00,,2,HB,,36,,,E3,,,,,,,0,
2009-08-21,09:59:00,,2,SB,,2,,,E3,,,,,,,0,
2009-08-21,10:03:00,,2,HB,,5,,,E1,,,,,,,0,
2009-08-21,10:09:00,,2,HB,,6,,,E1,,,,,,,0,
2009-08-21,10:14:00,,2,HB,,16,,,O,Ad,,,,,,0,Ad
2009-08-21,10:16:00,,2,Mon,,2,,,E2,Ad,M,,,,,0,Ad
2009-08-21,10:16:00,,2,Mon,,1,,,E2,Juv,,,,,,0,Juv
2009-08-21,10:17:00,,2,HB,,1,,,O,Ad,,,,,,0,Ad
2009-08-21,10:18:00,,2,HB,,10,,,O,Ad,,,,,,0,Ad
2009-08-21,10:23:00,,2,Mon,,1,,,O,Ad,F,,,,,0,Ad
2009-08-21,10:23:00,,2,Mon,,3,,,O,Nonjuv,M,,,,,0,
2009-08-21,10:23:00,,2,Mon,,2,,,O,Juv,,,,,,0,Juv
2009-08-21,10:24:00,,2,Mon,,4,,,O,Ad,F,,,,,0,Ad
2009-08-21,10:25:00,,2,Mon,,4,,,O,Ad,M,,,,,0,Ad
2009-08-21,10:31:00,,2,HB,,5,,,O,Ad,,,,,,0,Ad
2009-08-21,10:36:00,,2,HB,,27,,,E2,Ad,,,,,,0,Ad
2009-08-21,10:38:00,,2,CB,,1,,,O,Ad,,,,,,0,Ad
2009-08-21,10:38:00,,2,GE,,1,,,O,,,,,,,0,
2009-08-21,10:44:00,,2,HB,,55,,,E1,Ad,,,,,,0,Ad
2009-08-21,10:55:00,,2,Mon,,1,,,O,Nonjuv,F,,,,,0,
2009-08-21,10:56:00,,2,Mon,,1,,,O,Nonjuv,F,,,,,0,
2009-08-21,10:56:00,,2,Mon,,1,,,O,Nonjuv,M,,,,,0,
2009-08-21,10:58:00,,2,BE,,1,,,E1,,,,,,,0,
2009-08-21,11:02:00,,2,Mon,,2,,,O,Nonjuv,F,,,,,0,
2009-08-21,11:03:00,,2,Mon,,1,,,O,Nonjuv,M,,,,,0,
2009-08-21,11:04:00,,2,HB,,1,,,O,Ad,,,,,,0,Ad
2009-08-21,11:05:00,,2,HB,,14,,,E2,Ad,,,,,,0,Ad
2009-08-21,11:15:00,,1,Per,,1,,,E1,,,,,,,0,
2009-08-21,11:16:00,,2,Mon,,1,,,O,Ad,M,,,,,0,Ad
2009-08-21,11:19:00,,2,HB,,1,,,O,,,,,,,0,
2009-08-21,11:21:00,,2,Mar,,1,,,O,,,,,,,0,
2009-08-21,11:21:00,,2,Mon,,1,,,E2,,FC,,,,,0,
2009-08-21,11:31:00,,2,HB,,14,,,E3,Ad,,,,,,0,Ad
2009-08-21,11:34:00,,2,HB,,8,,,E3,,,,,,,0,
2009-08-21,11:34:00,,2,Mon,,1,,,E3,Nonjuv,F,,,,,0,
2009-08-21,11:34:00,,2,Mon,,1,,,E3,Nonjuv,M,,,,,0,
2009-08-21,11:38:00,,2,HB,,3,,,E3,,,,,,,0,
2009-08-21,11:38:00,,2,HobRFF,,1,,,E3,,,,,,,0,
2009-08-21,11:38:00,,2,Mon,,1,,,E3,,,,,,,0,
2009-08-21,12:00:00,,1,Rol,,1,,,E1,Ad,,,,,,0,Ad
2009-08-21,12:15:00,,2,HB,,2,,,E2,,,,,,,0,
2009-08-21,12:20:00,,2,HB,,3,,,E1,Ad,,,,,,0,Ad
2009-08-21,12:38:00,,2,BS,,1,,,E3,,,,,,,0,
2009-08-21,12:38:00,,2,HB,,84,,,E3,,,,,,,0,
2009-08-21,12:42:00,,2,Mon,,1,,,E2,Nonjuv,F,,,,,0,
2009-08-21,12:42:00,,2,Mon,,1,,,E2,Nonjuv,M,,,,,0,
2009-08-21,12:43:00,,2,HB,,13,,,E2,,,,,,,0,
2009-08-21,13:03:00,,2,HB,,5,,,E2,,,,,,,0,
2009-08-21,13:08:00,,2,HB,,28,,,E3,,,,,,,0,
2009-08-21,13:13:00,,2,HB,,2,,,E3,,,,,,,0,
2009-08-21,13:22:00,,2,HB,,1,,,E1,,,,,,,0,
2009-08-21,13:23:00,,2,HB,,30,,,E2,,,,,,,0,
2009-08-21,13:43:00,,2,Mar,,1,,,E2,,,,,,,0,
2009-08-21,13:49:00,,2,HB,,1,,,E2,,,,,,,0,
2009-08-21,13:56:00,,2,HB,,2,,,E3,,,,,,,0,
2009-08-21,14:24:00,,2,HB,,27,,,E3,,,,,,,0,
2009-08-21,14:27:00,,2,HB,,38,,,E3,,,,,,,0,
2009-08-21,14:34:00,,2,HB,,42,,,E3,,,,,,,0,
2009-08-21,16:45:00,,1,HB,,1,,,E1,,,,,,,0,
2009-08-22,07:37:00,,1,Mar,,2,,,E1,Ad,M,,,,,0,Ad
2009-08-22,08:00:00,,2,ESPH,,1,,,O,,,,,,,0,
2009-08-22,08:40:00,,1,Mar,,1,,,E1,Juv,,,,,,0,Juv
2009-08-22,09:20:00,,2,Harspec,,1,,,E3,,F,,,,,0,
2009-08-22,09:20:00,,2,HB,,2,,,E2,,,,,,,0,
2009-08-22,09:44:00,,2,HB,,1,,,E2,,,,,,,0,
2009-08-22,09:56:00,,2,BK,,3,,,E2,Ad,,,,,,0,Ad
2009-08-22,09:56:00,,2,HB,,1,,,E3,,,,,,,0,
2009-08-22,09:59:00,,1,Mon,,1,,,W1,Ad,M,,,,,0,Ad
2009-08-22,10:08:00,,2,HB,,16,,,E3,,,,,,,0,
2009-08-22,10:10:00,,1,HB,,1,,,E3,,,,,,,0,
2009-08-22,10:12:00,,1,SBHB,,6,,,E3,,,,,,,0,
2009-08-22,10:15:00,,1,HB,,2,,,E3,,,,,,,0,
2009-08-22,10:19:00,,2,HB,,3,,,E3,,,,,,,0,
2009-08-22,10:25:00,,2,CB,,1,,,E3,,,,,,,0,
2009-08-22,10:25:00,,2,Harspec,,1,,,E3,,,,,,,0,
2009-08-22,10:25:00,,2,HB,,5,,,E3,,,,,,,0,
2009-08-22,10:32:00,,2,GH,,1,,,E2,,,,,,,0,
2009-08-22,10:34:00,,2,CB,,1,,,E3,,,,,,,0,
2009-08-22,10:34:00,,2,Mar,,1,,,E3,Nonjuv,F,,,,,0,
2009-08-22,10:34:00,,2,MUID,,1,,,E3,,,,,,,0,
2009-08-22,10:43:00,,2,HB,,1,,,E2,Juv,,,,,,0,Juv
2009-08-22,10:43:00,,2,HB,,3,,,E2,,,,,,,0,
2009-08-22,10:43:00,,2,MUID,,2,,,E3,,,,,,,0,
2009-08-22,10:48:00,,1,BS,,1,,,E3,,,,,,,0,
2009-08-22,10:49:00,,1,Harspec,,1,,,E3,,,,,,,0,
2009-08-22,10:50:00,,2,BS,,1,,,E2,,,,,,,0,
2009-08-22,10:50:00,,2,CB,,1,,,E3,,,,,,,0,
2009-08-22,10:50:00,,2,HB,,1,,,E1,,,,,,,0,
2009-08-22,10:50:00,,2,HobRFF,,1,,,E3,,,,,,,0,
2009-08-22,10:51:00,,1,HB,,2,,,E2,Ad,,,,,,0,Ad
2009-08-22,11:00:00,,1,Mar,,1,,,E2,Ad,M,,,,,0,Ad
2009-08-22,11:39:00,,1,HB,,1,,,W1,Ad,,,,,,0,Ad
2009-08-22,11:56:00,,2,Mar,,1,,,E2,Nonjuv,M,,,,,0,
2009-08-22,12:11:00,,1,HB,,3,,,E3,,,,,,,0,
2009-08-22,12:17:00,,1,SBHB,,3,,,E3,,,,,,,0,
2009-08-22,12:20:00,,2,HB,,19,,,E2,Ad,F,,,,,0,Ad
2009-08-22,12:20:00,,2,HB,,3,,,E2,Ad,M,,,,,0,Ad
2009-08-22,12:24:00,,2,HB,,5,,,E2,Ad,M,,,,,0,Ad
2009-08-22,12:24:00,,2,HB,,46,,,E2,,,,,,,0,
2009-08-22,12:24:00,,2,HB,,40,,,E2,,FC,,,,,0,
2009-08-22,12:34:00,,1,HB,,130,,,E3,,,,,,,0,
2009-08-22,12:40:00,,2,HB,,105,,,E2,,,,,,,0,
2009-08-22,12:51:00,,1,SBHB,,83,,,E3,,,,,,,0,
2009-08-22,12:52:00,,1,SBHB,,67,,,E3,,,,,,,0,
2009-08-22,13:01:00,,2,HB,,93,,,E3,,,,,,,0,
2009-08-22,13:03:00,,1,HB,,1,,,E3,Ad,,,,,,0,Ad
2009-08-22,13:07:00,,1,SBHB,,5,,,E3,,,,,,,0,
2009-08-22,13:07:00,,2,HB,,18,,,E3,,,,,,,0,
2009-08-22,13:08:00,,2,HB,,4,,,E3,,,,,,,0,
2009-08-22,13:08:00,,2,MUID,,1,,,E3,,,,,,,0,
2009-08-22,13:10:00,,1,SBHB,,8,,,E3,,,,,,,0,
2009-08-22,13:11:00,,1,HB,,1,,,E3,,,,,,,0,
2009-08-22,13:17:00,,1,SBHB,,101,,,E3,,,,,,,0,
2009-08-22,13:17:00,,1,Harspec,,1,,,E3,,,,,,,0,
2009-08-22,13:24:00,,1,BK,,1,,,W1,,,,,,,0,
2009-08-22,13:24:00,,2,HB,,34,,,E3,,FC,,,,,0,
2009-08-22,13:44:00,,2,HB,,3,,,E2,,,,,,,0,
2009-08-22,13:48:00,,2,BK,,1,,,E3,,,,,,,0,
2009-08-22,13:48:00,,2,HB,,4,,,E3,,,,,,,0,
2009-08-22,13:50:00,,2,Falcon-SPEC,,1,,,E3,,,,,,,0,
2009-08-22,13:58:00,,2,ESPH,,1,,,E3,,,,,,,0,
2009-08-22,14:22:00,,1,HB,,2,,,E3,,,,,,,0,
2009-08-22,14:50:00,,2,Mon,,1,,,E1,Ad,M,,,,,0,Ad
2009-08-23,08:00:00,,1,HB,,1,,,E3,,,,,,,0,
2009-08-23,08:24:00,,1,Rol,,2,,,O,,,,,,,1,
2009-08-23,08:37:00,,1,BE,,1,,,O,,,,,,,1,
2009-08-23,08:37:00,,1,BK,,3,,,O,,,,,,,1,
2009-08-23,08:55:00,,2,HB,,1,,,E3,,FC,,,,,0,
2009-08-23,09:00:00,,1,Rol,,7,,,E1,,,,,,,1,
2009-08-23,09:11:00,,1,Rol,,6,,,W1,,,,,,,0,
2009-08-23,09:27:00,,1,Mar,,2,,,W1,Juv,,,,,,0,Juv
2009-08-23,09:40:00,,2,HB,,1,,,E2,,,,,,,0,
2009-08-23,09:43:00,,2,HB,,1,,,E2,,,,,,,0,
2009-08-23,09:44:00,,1,BE,,1,,,O,,,,,,,0,
2009-08-23,09:45:00,,1,MUID,,1,,,E1,,,,,,,0,
2009-08-23,09:48:00,,2,Harspec,,1,,,E2,,,,,,,0,
2009-08-23,09:48:00,,2,HB,,3,,,E2,,,,,,,0,
2009-08-23,09:48:00,,2,Mar,,1,,,E3,,FC,,,,,0,
2009-08-23,09:54:00,,2,HB,,3,,,E3,,,,,,,0,
2009-08-23,09:54:00,,2,Mar,,3,,,E3,,FC,,,,,0,
2009-08-23,09:58:00,,2,BK,,2,,,E3,Ad,,,,,,0,Ad
2009-08-23,09:58:00,,2,Mar,,1,,,E3,,FC,,,,,0,
2009-08-23,09:59:00,,2,Mon,,1,,,O,Imm,M,,,,,0,2ndcy
2009-08-23,10:02:00,,2,ESPH,,2,,,E3,,FC,,,,,0,
