Year,Date,Time,Station,Species,Number,RDC,numberdoublecount,Location,Low,Age,Sex,Age_det,Morph,Remark
2009,2009-08-21,08:52:00,2,HB,1,1,1,W1,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-08-21,08:57:00,2,HB,1,1,1,E1,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-08-21,09:13:00,2,HB,2,1,2,O,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-08-21,09:13:00,2,Mon,2,1,2,W1,0,Ad,F,Ad,NoValue,NoValue
2009,2009-08-21,09:13:00,2,Mon,1,1,1,W1,0,NoValue,FC,NoValue,NoValue,NoValue
2009,2009-08-21,09:13:00,2,Mon,1,1,1,W1,0,Ad,M,Ad,NoValue,NoValue
2009,2009-08-21,09:15:00,2,HB,11,1,11,E1,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-08-21,09:15:00,2,Mar,2,1,2,E1,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-08-21,09:15:00,2,Mon,1,1,1,E1,0,NoValue,FC,NoValue,NoValue,NoValue
2009,2009-08-21,09:15:00,2,Mon,1,1,1,E1,0,Ad,M,Ad,NoValue,NoValue
2009,2009-08-21,09:18:00,2,Mon,1,1,1,O,0,Imm,M,2ndcy,NoValue,NoValue
2009,2009-08-21,09:20:00,2,HB,1,1,1,E2,0,Ad,NoValue,Ad,NoValue,NoValue
2009,2009-08-21,09:22:00,2,HB,1,1,1,E1,0,Ad,NoValue,Ad,NoValue,NoValue
2009,2009-08-21,09:22:00,2,HB,1,1,1,E1,0,Juv,NoValue,Juv,NoValue,NoValue
2009,2009-08-21,09:25:00,2,HB,10,1,10,O,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-08-21,09:28:00,2,BK,1,1,1,W3,0,Ad,NoValue,Ad,NoValue,NoValue
2009,2009-08-21,09:31:00,2,HB,2,1,2,E2,0,Ad,NoValue,Ad,NoValue,NoValue
2009,2009-08-21,09:33:00,2,HB,1,1,1,E1,0,Ad,NoValue,Ad,NoValue,NoValue
2009,2009-08-21,09:34:00,2,HB,1,1,1,O,0,Ad,F,Ad,NoValue,NoValue
2009,2009-08-21,09:36:00,2,CB,1,1,1,O,0,Ad,NoValue,Ad,NoValue,NoValue
2009,2009-08-21,09:36:00,2,HB,1,1,1,O,0,Juv,NoValue,Juv,NoValue,NoValue
2009,2009-08-21,09:36:00,2,HB,2,1,2,O,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-08-21,09:39:00,2,CB,1,1,1,O,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-08-21,09:46:00,2,ESPH,1,1,1,O,0,NoValue,F,NoValue,NoValue,NoValue
2009,2009-08-21,09:46:00,2,HB,2,1,2,O,0,Ad,NoValue,Ad,NoValue,NoValue
2009,2009-08-21,09:47:00,2,HB,2,1,2,E3,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-08-21,09:49:00,2,HB,3,1,3,E3,0,Ad,NoValue,Ad,NoValue,NoValue
2009,2009-08-21,09:54:00,2,BE,1,1,1,O,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-08-21,09:59:00,2,HB,36,1,36,E3,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-08-21,09:59:00,2,SB,2,1,2,E3,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-08-21,10:03:00,2,HB,5,1,5,E1,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-08-21,10:09:00,2,HB,6,1,6,E1,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-08-21,10:14:00,2,HB,16,1,16,O,0,Ad,NoValue,Ad,NoValue,NoValue
