date,timestamp,countid,telpost,speciesname,speciesid,count,countback,local,location,age,sex,plumage,counttype,migtype,remark,Low
2010-08-18,12:45:00,,1,HB,,9,,,E3,,,,,,,0
2010-08-18,12:55:00,,1,HB,,30,,,E3,,,,,,,0
2010-08-18,13:20:00,,1,Mar,,1,,,W1,Ad,F,,,,active flight,0
2010-08-18,13:20:00,,1,HB,,1,,,W2,,,,,,active flight,0
2010-08-18,15:25:00,,1,HB,,12,,,E3,Juv,,,,,,0
2010-08-18,15:30:00,,1,HB,,11,,,E3,,,,,,,0
2010-08-18,15:35:00,,1,LargeFALCON,,1,,,E3,,,,,,big unidentified falcon,0
2010-08-18,15:35:00,,1,HB,,1,,,E3,,,,,,,0
2010-08-18,15:50:00,,1,HB,,4,,,E3,,,,,,,0
2010-08-18,16:55:00,,1,Mar,,1,,,E3,Juv,,,,,,0
2010-08-18,16:55:00,,1,HB,,1,,,E3,,,,,,,0
2010-08-18,17:10:00,,1,HB,,3,,,E3,,,,,,,0
2010-08-18,17:10:00,,1,HB,,1,,,E2,,,,,,,0
2010-08-18,17:50:00,,1,HB,,16,,,O,,,,,,"from the North, going W",0
2010-08-19,08:45:00,,1,Rol,,2,,,E1,,,,,,,0
2010-08-19,10:25:00,,1,Kes,,1,,,E2,,FC,,,,from sea inland,0
2010-08-19,10:30:00,,1,HB,,1,,,O,,,,,,And one local SB,0
2010-08-19,11:50:00,,1,HB,,2,,,E3,,,,,,,0
2010-08-19,11:55:00,,1,MUID,,2,,,E2,,,,,,,0
2010-08-19,12:00:00,,1,MUID,,198,,,E3,,,,,,,0
2010-08-19,12:00:00,,1,HB,,96,,,E2,,,,,,,0
2010-08-19,12:10:00,,1,HB,,135,,,E2,,,,,,,0
2010-08-19,12:20:00,,1,HB,,78,,,E2,,,,,,,0
2010-08-19,12:30:00,,1,HB,,348,,,E2,,,,,,,0
2010-08-19,12:37:00,,1,HB,,41,,,E2,,,,,,,0
2010-08-19,12:40:00,,1,Hob,,1,,,E1,Imm,,,,,"Overhead, went east",0
2010-08-19,12:45:00,,1,HB,,186,,,E2,,,,,,,0
2010-08-19,12:50:00,,1,BED,,1,,,W1,,,Dark,,,,0
2010-08-19,13:00:00,,1,HB,,179,,,E2,,,,,,,0
2010-08-19,13:05:00,,1,HB,,43,,,E2,,,,,,,0
2010-08-19,13:12:00,,1,HB,,37,,,E2,,,,,,,0
2010-08-19,13:20:00,,1,HB,,63,,,E2,,,,,,,0
2010-08-19,13:20:00,,1,BK,,1,,,E2,,,,,,,0
2010-08-19,13:30:00,,1,HB,,31,,,E2,,,,,,,0
2010-08-19,13:30:00,,1,MUID,,55,,,E2,,,,,,,0
2010-08-19,13:32:00,,1,Mar,,1,,,E2,,,,,,,0
2010-08-19,13:40:00,,1,MUID,,1,,,E3,,,,,,,0
2010-08-19,13:55:00,,1,HB,,1,,,E2,,,,,,,0
2010-08-19,14:00:00,,1,MUID,,1,,,E3,,,,,,,0
2010-08-19,14:15:00,,1,HB,,1,,,E2,,,,,,,0
2010-08-19,14:30:00,,1,LSH,,1,,,W1,Juv,,,,,,0
2010-08-19,15:15:00,,1,HB,,206,,,E2,,,,,,,0
2010-08-19,15:15:00,,1,MUID,,1,,,E3,,,,,,,0
2010-08-19,15:30:00,,1,BK,,4,,,E2,,,,,,,0
2010-08-19,15:30:00,,1,HB,,445,,,E2,,,,,,,0
2010-08-19,15:45:00,,1,MUID,,41,,,E2,,,,,,,0
2010-08-19,16:05:00,,1,MUID,,45,,,E3,,,,,,,0
2010-08-19,16:05:00,,1,HB,,40,,,E2,,,,,,,0
2010-08-19,16:10:00,,1,MUID,,2,,,E2,,,,,,,0
2010-08-19,16:20:00,,1,MUID,,89,,,E3,,,,,,,0
2010-08-19,16:22:00,,1,MUID,,4,,,E3,,,,,,,0
2010-08-19,16:24:00,,1,Mar,,1,,,W1,Juv,,,,,"Comming from E1, active flight",1
2010-08-19,16:25:00,,1,MUID,,1,,,E3,,,,,,,0
2010-08-19,16:26:00,,1,Mar,,1,,,E2,,FC,,,,,0
2010-08-19,16:36:00,,1,MUID,,6,,,E3,,,,,,,0
2010-08-19,17:00:00,,1,Mar,,1,,,E1,Ad,F,,,,,0
2010-08-19,17:01:00,,1,LargeFALCON,,1,,,E3,,,,,,Fspec,0
2010-08-19,17:11:00,,1,Goshawk,,1,,,E2,,,,,,,0
2010-08-19,17:20:00,,1,MUID,,1,,,E3,,,,,,,0
2010-08-19,17:30:00,,1,HB,,4,,,E2,,,,,,,0
2010-08-20,08:40:00,,1,Mon,,1,,,E1,Imm,M,,,,Active flight,1
2010-08-20,12:15:00,,1,MUID,,40,,,E3,,,,,,,0
2010-08-20,12:17:00,,1,MUID,,9,,,E3,,,,,,,0
2010-08-20,12:20:00,,1,BS,,1,,,E2,,,,,,,0
2010-08-20,12:25:00,,1,HB,,91,,,E2,,,,,,,0
2010-08-20,12:35:00,,1,BK,,3,,,E2,,,,,,,0
2010-08-20,12:45:00,,1,MUID,,31,,,E3,,,,,,,0
2010-08-20,12:47:00,,1,MUID,,10,,,E3,,,,,,,0
2010-08-20,12:53:00,,1,MUID,,3,,,E3,,,,,,,0
2010-08-20,12:58:00,,1,MUID,,1,,,E3,,,,,,,0
2010-08-20,13:03:00,,1,MUID,,74,,,E3,,,,,,,0
2010-08-20,13:03:00,,1,BK,,7,,,E3,,,,,,,0
2010-08-20,13:07:00,,1,MUID,,37,,,E3,,,,,,,0
2010-08-20,13:10:00,,1,BK,,2,,,E2,,,,,,,0
2010-08-20,13:10:00,,1,HB,,107,,,E2,,,,,,,0
2010-08-20,13:14:00,,1,BK,,2,,,E2,,,,,,,0
2010-08-20,13:20:00,,1,HB,,3,,,E3,,,,,,,0
2010-08-20,13:25:00,,1,HB,,61,,,E3,,,,,,,0
2010-08-20,13:25:00,,1,BK,,2,,,E3,,,,,,,0
2010-08-20,13:32:00,,1,MUID,,28,,,E3,,,,,,,0
2010-08-20,13:45:00,,1,BEL,,1,,,E2,,,Light,,,,0
2010-08-20,14:15:00,,1,LesGrSte,,1,,,E1,,,,,,"Prob LSE, but going N",0
2010-08-20,14:32:00,,1,MUID,,20,,,E3,,,,,,,0
2010-08-20,14:32:00,,1,BS,,2,,,E3,,,,,,,0
2010-08-20,14:46:00,,1,MUID,,1,,,E3,,,,,,,0
2010-08-20,14:52:00,,1,BEL,,1,,,E2,,,Light,,,,0
2010-08-20,14:52:00,,1,MUID,,1,,,E3,,,,,,,0
2010-08-20,14:57:00,,1,MUID,,15,,,E3,,,,,,,0
2010-08-20,15:01:00,,1,HB,,1,,,E2,,,,,,,0
2010-08-20,15:02:00,,1,MUID,,14,,,E3,,,,,,,0
2010-08-20,15:06:00,,1,BED,,1,,,E2,,,Dark,,,,0
2010-08-20,15:11:00,,1,BK,,1,,,E1,Juv,,,,,,0
2010-08-20,15:11:00,,1,BK,,1,,,E1,,,,,,,0
2010-08-21,12:20:00,,1,HB,,1,,,E1,Ad,M,,,,"date is indicated wrong on the papers, should be 21st instead of 20th",0
2010-08-21,12:20:00,,1,HB,,1,,,E1,Ad,F,,,,,0
2010-08-21,12:20:00,,1,HB,,2,,,E1,Juv,,,,,,0
2010-08-21,12:20:00,,1,HB,,3,,,E3,,,,,,,0
2010-08-21,12:20:00,,1,MonPalHen,,1,,,E3,Juv,,,,,,0
2010-08-21,12:20:00,,1,HB,,1,,,E1,,,,,,,0
2010-08-21,12:25:00,,1,HB,,2,,,E1,Ad,M,,,,,0
2010-08-21,12:30:00,,1,HB,,11,,,E3,,,,,,,0
2010-08-21,12:30:00,,1,MonPalHen,,1,,,E3,,,,,,,0
2010-08-21,12:35:00,,1,HB,,3,,,E3,,,,,,,0
2010-08-21,12:40:00,,1,HB,,8,,,E3,,,,,,,0
2010-08-21,12:45:00,,1,HB,,11,,,E1,,,,,,,0
2010-08-21,12:50:00,,1,Osp,,1,,,E2,,,,,,,0
2010-08-21,12:50:00,,1,HB,,11,,,E3,,,,,,,0
2010-08-21,12:51:00,,1,HB,,12,,,E3,,,,,,,0
2010-08-21,12:55:00,,1,HB,,4,,,E3,,,,,,,0
2010-08-21,13:00:00,,1,HB,,14,,,E2,,,,,,,0
2010-08-21,13:05:00,,1,HB,,5,,,E2,,,,,,,0
2010-08-21,13:15:00,,1,HB,,5,,,E3,,,,,,,0
2010-08-21,13:20:00,,1,HB,,7,,,E3,,,,,,,0
2010-08-21,13:35:00,,1,Mar,,1,,,E3,,FC,,,,,0
2010-08-21,13:40:00,,1,HB,,7,,,E2,,,,,,,0
2010-08-21,13:45:00,,1,HB,,18,,,E3,,,,,,,0
2010-08-21,13:50:00,,1,BK,,1,,,E2,,,,,,,0
2010-08-21,13:50:00,,1,HB,,5,,,E3,,,,,,,0
2010-08-22,08:55:00,,1,Mar,,1,,,E1,,,,,,Active flight,0
2010-08-22,10:20:00,,1,BK,,1,,,E1,,,,,,Probably slept in valley,0
2010-08-22,10:30:00,,1,HB,,10,,,E1,,,,,,Probably slept in valley,0
2010-08-22,10:30:00,,1,HB,,24,,,E1,,,,,,,0
2010-08-22,10:30:00,,1,HB_AD,,6,,,E1,Ad,M,,,,,0
2010-08-22,10:30:00,,1,HB_JUV,,2,,,E1,JUV,,,,,,0
2010-08-22,10:35:00,,1,HB,,46,,,E1,,,,,,,0
2010-08-22,10:35:00,,1,Mar,,1,,,E1,Juv,,,,,,0
2010-08-22,10:40:00,,1,HB,,61,,,E1,,,,,,,0
2010-08-22,10:45:00,,1,HB,,8,,,E1,,,,,,,0
2010-08-22,10:45:00,,1,HB,,56,,,E1,,,,,,,0
2010-08-22,10:47:00,,1,HB,,27,,,E1,,,,,,,0
2010-08-22,10:50:00,,1,HB,,32,,,E1,,,,,,,0
2010-08-22,10:52:00,,1,HB,,37,,,E1,,,,,,,0
2010-08-22,10:55:00,,1,HB,,39,,,E1,,,,,,,0
2010-08-22,10:57:00,,1,Mar,,1,,,E1,Juv,,,,,,1
2010-08-22,10:58:00,,1,HB,,41,,,E1,,,,,,,0
2010-08-22,10:59:00,,1,Mar,,1,,,E1,Juv,,,,,,0
2010-08-22,11:05:00,,1,MUID,,1,,,E3,,,,,,,0
2010-08-22,11:06:00,,1,HB,,9,,,E2,,,,,,,0
2010-08-22,11:07:00,,1,HB,,1,,,E2,,,,,,,0
2010-08-22,11:15:00,,1,HB,,164,,,E3,,,,,,,0
2010-08-22,11:18:00,,1,MUID,,1,,,E3,,,,,,,0
2010-08-22,11:18:00,,1,MUID,,1,,,E3,,,,,,,0
2010-08-22,11:19:00,,1,MUID,,21,,,E3,,,,,,,0
2010-08-22,11:19:00,,1,MUID,,21,,,E3,,,,,,,0
2010-08-22,11:20:00,,1,BK,,1,,,E3,,,,,,,0
2010-08-22,11:20:00,,1,BK,,1,,,E3,,,,,,,0
2010-08-22,11:20:00,,1,HB,,102,,,E3,,,,,,,0
2010-08-22,11:24:00,,1,HB,,60,,,E3,,,,,,,0
2010-08-22,11:25:00,,1,BK,,1,,,E3,,,,,,,0
