Date,Time,Station,Species,Number,Location,Age,Sex,RDC,Low,Shot bird?,Remark,Coordinators,Counters,Wdir,WSp,Vis,Rain?,CLCO,CLMO,CLHe
2011-08-27,07:10:00,3,start,1,No Value,No Value,No Value,0,0,0,,1,2,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,07:24:00,3,HB,43,O,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,07:36:00,3,HB,23,O,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,07:38:00,3,HB,14,O,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,07:43:00,3,HB,6,O,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,08:04:00,3,HB,109,O,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,08:08:00,3,HB,2,O,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,08:22:00,3,HB,327,O,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,08:22:00,3,HBad,47,O,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,08:25:00,3,HB,1,W1,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,08:35:00,3,HB,390,W1,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,08:36:00,3,HB,14,W1,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,08:43:00,3,HB,190,W1,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,08:51:00,3,HB,412,O,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
