date,timestamp,countid,telpost,speciesname,speciesid,count,countback,local,location,age,sex,plumage,counttype,migtype,remark,BE_flock
2012-08-17,08:43:00,,1,Per,,1,,,W2,Imm,,,,,,
2012-08-17,14:19:00,,1,HB,,1,,,E1,,,,,,,
2012-08-17,14:54:00,,1,Pal,,1,,,W2,Juv,,,,,,
2012-08-17,16:21:00,,1,Rol,,11,,,W1,,,,,,,
2012-08-18,07:43:00,,1,Mar,,1,,,E3,Non-juv,M,,,,,
2012-08-18,07:44:00,,1,Mar,,1,,,E3,,FC,,,,,
2012-08-18,07:51:00,,1,Rol,,5,,,E2,,,,,,,
2012-08-18,07:54:00,,1,Rol,,2,,,E1,,,,,,,
2012-08-18,08:06:00,,1,Mar,,1,,,W1,Ad,M,,,,,
2012-08-18,08:30:00,,1,Mar,,1,,,E3,,FC,,,,,
2012-08-18,08:30:00,,1,Mar,,1,,,E3,Non-juv,M,,,,,
2012-08-18,08:32:00,,1,HB,,1,,,E3,Ad,M,,,,,
2012-08-18,08:36:00,,1,Mar,,1,,,E2,,FC,,,,,
2012-08-18,09:02:00,,1,Mar,,1,,,W2,Ad,F,,,,,
2012-08-18,09:14:00,,1,Mar,,1,,,W2,Non-juv,F,,,,,
2012-08-18,10:31:00,,1,Rol,,12,,,W1,,,,,,,
2012-08-18,10:34:00,,1,HB,,1,,,E3,,,,,,,
2012-08-18,10:38:00,,1,HB,,1,,,E3,,,,,,,
2012-08-18,10:38:00,,1,HB,,1,,,E3,,,,,,,
2012-08-18,10:38:00,,1,ShortTE,,1,,,E3,,,,,,,
2012-08-18,10:47:00,,1,Mar,,1,,,E3,,,,,,,
2012-08-18,10:52:00,,1,HB,,2,,,E2,,,,,,,
2012-08-18,11:14:00,,1,HB,,5,,,E3,,,,,,,
2012-08-18,11:43:00,,1,HB,,4,,,E2,Ad,,,,,,
2012-08-18,11:48:00,,1,BED,,1,,,E2,Ad,,,,,,NAS
2012-08-18,11:51:00,,1,ShortTE,,2,,,E2,,,,,,,
2012-08-18,11:53:00,,1,HB,,3,,,E3,,,,,,,
2012-08-18,12:12:00,,1,HB,,27,,,E3,,,,,,,
2012-08-18,12:22:00,,1,HB,,45,,,E3,,,,,,,
2012-08-18,12:23:00,,1,Pal,,1,,,E3,Ad,M,,,,,
2012-08-18,12:39:00,,1,HB,,4,,,E3,,,,,,,
2012-08-18,13:11:00,,1,BK,,1,,,O,,,,,,,
2012-08-18,13:11:00,,1,BKjuv,,1,,,O,,,,,,,
2012-08-18,13:14:00,,1,HB,,1,,,E2,,,,,,,
2012-08-18,13:37:00,,1,HB,,4,,,E3,,,,,,,
2012-08-18,13:56:00,,1,HB,,5,,,E3,,,,,,,
2012-08-18,14:07:00,,1,HB,,9,,,E1,,,,,,,
2012-08-18,14:07:00,,1,HBad,,5,,,E1,,F,,,,,
2012-08-18,14:08:00,,1,HBad,,1,,,E1,,M,,,,,
2012-08-18,14:11:00,,1,HB,,7,,,E2,,,,,,,
2012-08-18,14:20:00,,1,BED,,1,,,O,Ad,,,,,,NAS
2012-08-18,14:29:00,,1,HB,,54,,,E2,,,,,,,
2012-08-18,14:29:00,,1,BK,,2,,,E2,,,,,,,
2012-08-18,14:48:00,,1,HB,,3,,,E3,,,,,,,
2012-08-18,14:55:00,,1,HB,,10,,,E3,,,,,,,
2012-08-18,14:58:00,,1,HB,,15,,,E3,,,,,,,
2012-08-18,15:10:00,,1,HB,,25,,,E2,,,,,,,
2012-08-18,15:16:00,,1,HB,,8,,,E2,,,,,,,
2012-08-18,15:23:00,,1,HB,,25,,,E3,,,,,,,
2012-08-18,15:24:00,,1,HB,,1,,,E3,,,,,,,
2012-08-18,15:27:00,,1,Mar,,1,,,E2,Ad,F,,,,,
2012-08-18,15:28:00,,1,HB,,13,,,E3,,,,,,,
2012-08-18,15:34:00,,1,LSE,,1,,,W2,Non-juv,,,,,,
2012-08-18,15:36:00,,1,HB,,19,,,E2,,,,,,,
2012-08-18,15:43:00,,1,HB,,13,,,E2,,,,,,,
2012-08-18,15:44:00,,1,BK,,1,,,E2,,,,,,,
2012-08-18,15:44:00,,1,BKad,,1,,,E2,,,,,,,
2012-08-18,15:44:00,,1,Mar,,1,,,E2,Ad,M,,,,,
2012-08-18,15:47:00,,1,BED,,1,,,E2,,,,,,,NAS
2012-08-18,15:47:00,,1,HB,,3,,,E2,,,,,,,
2012-08-18,15:49:00,,1,HB,,2,,,O,,,,,,,
2012-08-18,15:49:00,,1,HBad,,1,,,O,Ad,M,,,,,
2012-08-18,15:52:00,,1,HB,,6,,,E3,,,,,,,
2012-08-18,15:52:00,,1,HB,,1,,,O,,,,,,,
2012-08-18,15:52:00,,1,HBad,,1,,,O,,M,,,,,
2012-08-18,15:56:00,,1,HB,,1,,,E2,Ad,M,,,,,
2012-08-18,16:13:00,,1,HB,,2,,,E1,,M,,,,,
2012-08-18,16:17:00,,1,HB,,34,,,E3,,,,,,,
2012-08-18,16:31:00,,1,BK,,1,,,W1,Non-juv,,,,,,
2012-08-18,16:31:00,,1,HB,,8,,,E3,,,,,,,
2012-08-18,16:46:00,,1,HB,,16,,,E3,,,,,,,
2012-08-18,17:01:00,,1,LFspec,,1,,,W3,,,,,,,
2012-08-18,17:13:00,,1,BK,,1,,,E2,Ad,,,,,,
2012-08-18,17:13:00,,1,BKad,,1,,,E2,Ad,,,,,,
2012-08-18,17:38:00,,1,BS,,4,,,W3,,,,,,,
2012-08-18,08:17:00,,2,MonPalHen,,1,,,E2,Non-juv,FC,,,,,
2012-08-18,08:25:00,,2,Mar,,1,,,W2,Juv,,,,,,
2012-08-18,08:29:00,,2,HB,,3,,,W2,,,,,,,
2012-08-18,08:45:00,,2,HB,,1,,,E3,,,,,,,
2012-08-18,08:50:00,,2,HB,,1,,,E3,,,,,,,
2012-08-18,09:48:00,,2,ShortTE,,1,,,E1,Ad,,,,,,
2012-08-18,09:55:00,,2,HB,,3,,,E2,,,,,,,
2012-08-18,09:58:00,,2,BEL,,1,,,W1,Non-juv,,,,,,NAS
2012-08-18,10:14:00,,2,HB,,1,,,E2,,,,,,,
2012-08-18,10:46:00,,2,HB,,1,,,E2,,,,,,,
2012-08-18,11:15:00,,2,HB,,1,,,E2,,,,,,,
2012-08-18,11:34:00,,2,BS,,2,,,W2,Juv,,,,,,
2012-08-18,11:35:00,,2,BS,,2,,,W2,Ad,,,,,,
2012-08-18,12:04:00,,2,WS,,2,,,E3,,,,,,,
2012-08-18,12:17:00,,2,HB,,1,,,E2,,,,,,,
2012-08-18,12:23:00,,2,ShortTE,,1,,,E2,Non-juv,,,,,,
2012-08-18,12:31:00,,2,HB,,2,,,E1,,,,,,,
2012-08-18,12:34:00,,2,HB,,2,,,E1,,,,,,,
2012-08-18,12:40:00,,2,HB,,1,,,E2,Ad,,,,,,
2012-08-18,12:48:00,,2,HB,,2,,,E2,Ad,,,,,,
2012-08-18,12:56:00,,2,HB,,1,,,O,,,,,,,
2012-08-18,13:00:00,,2,HB,,7,,,E2,,,,,,,
2012-08-18,13:00:00,,2,HB,,1,,,O,,,,,,,
2012-08-18,13:00:00,,2,HBad,,1,,,O,,,,,,,
2012-08-18,13:16:00,,2,Mar,,1,,,W2,Non-juv,FC,,,,,
2012-08-18,13:23:00,,2,HB,,1,,,W1,,,,,,,
2012-08-18,13:30:00,,2,HB,,1,,,E1,Ad,,,,,,
2012-08-18,13:30:00,,2,HB,,2,,,E1,Juv,,,,,,
2012-08-18,13:53:00,,2,HB,,5,,,W2,,,,,,,
2012-08-18,14:18:00,,2,HB,,2,,,W2,,,,,,,
2012-08-18,14:36:00,,2,HB,,1,,,W2,,,,,,,
2012-08-18,14:47:00,,2,HB,,4,,,O,,,,,,,
2012-08-18,14:48:00,,2,HBad,,4,,,O,,,,,,,
2012-08-18,14:49:00,,2,HB,,1,,,O,,,,,,,
2012-08-18,14:53:00,,2,BK,,1,,,W2,,,,,,,
2012-08-18,15:08:00,,2,BED,,1,,,W2,,,,,,,NAS
2012-08-18,15:53:00,,2,HBad,,2,,,O,,,,,,,
2012-08-18,15:54:00,,2,HBad,,2,,,W1,,,,,,,
2012-08-18,16:10:00,,2,HB,,1,,,W2,,,,,,,
2012-08-18,16:23:00,,2,HB,,1,,,E2,,,,,,,
2012-08-18,16:23:00,,2,HBad,,1,,,E2,,,,,,,
2012-08-18,16:39:00,,2,HB,,3,,,W1,,,,,,,
2012-08-18,16:56:00,,2,HB,,2,,,W2,,,,,,,
2012-08-18,17:34:00,,2,HB,,13,,,E2,,,,,,,
2012-08-19,10:20:00,,1,HB,,2,,,E2,,,,,,,
2012-08-19,10:21:00,,1,HB,,5,,,E3,,,,,,,
2012-08-19,10:41:00,,1,BS,,4,,,E2,,,,,,,
