date,timestamp,countid,telpost,speciesname,speciesid,count,countback,local,age,sex,plumage,remark,location,migtype,counttype,year,yday
2016-08-25,06:35:00,1068812,1047,MonPalHen,1102,1,0,0,,,,,E2,,,2016,238
2016-08-29,06:39:16,1070627,1047,Mon,98,1,0,0,A,M,,,E1,,,2016,242
2016-08-29,06:39:21,1070627,1047,Mon,98,1,0,0,J,,,,E1,,,2016,242
2016-08-25,06:40:27,1068812,1047,MonPalHen,1102,1,0,0,,FC,,,E2,,,2016,238
2016-09-08,06:41:03,1074302,1048,MonPalHen,1102,1,0,0,,,,,W2,,,2016,252
2016-08-30,06:41:48,1070666,1047,MonPalHen,1102,3,0,0,,,,,E2,,,2016,243
2016-09-11,06:42:11,1075658,1047,MonPalHen,1102,4,0,0,,,,,E3,,,2016,255
2016-09-11,06:42:19,1075658,1047,Mar,95,1,0,0,,,,,E3,,,2016,255
2016-08-28,06:42:26,1070005,1048,Mon,98,1,0,0,A,M,,,E2,,,2016,241
2016-09-07,06:42:55,1073910,1047,Mar,95,1,0,0,Non-Juv,M,,,E2,,,2016,251
2016-09-09,06:43:01,1074705,1048,MonPalHen,1102,4,0,0,,,,,W3,,,2016,253
2016-08-25,06:43:18,1068721,1048,MonPalHen,1102,2,0,0,,,,,E3,,,2016,238
2016-09-09,06:44:00,1074705,1048,HB,86,1,0,0,,,,,W2,,S,2016,253
2016-09-08,06:44:31,1074302,1048,MonPalHen,1102,2,0,0,,,,,W2,,,2016,252
2016-09-09,06:44:32,1074705,1048,BlaKite,88,2,0,0,,,,,W2,,,2016,253
2016-09-10,06:44:40,1075187,1048,StepBuz,102,1,0,0,,,,,O,,,2016,254
2016-09-09,06:45:33,1074705,1048,MonPalHen,1102,1,0,0,,FC,,,W2,,,2016,253
2016-09-04,06:46:53,1072300,1047,Osprey,109,0,1,0,,,,,W2,,,2016,248
2016-09-09,06:47:10,1074705,1048,Mar,95,1,0,0,Non-Juv,M,,,E2,,,2016,253
2016-08-26,06:47:18,1069085,1047,HB,86,1,0,0,,,,,E2,,,2016,239
2016-09-11,06:47:29,1075658,1047,Mar,95,1,0,0,,,,,E3,,,2016,255
2016-09-03,06:47:56,1072001,1048,Mar,95,2,0,0,Non-Juv,M,,,W2,,,2016,247
2016-09-03,06:48:01,1072001,1048,Mar,95,1,0,0,,FC,,,W2,,,2016,247
2016-09-03,06:48:04,1072001,1048,Mar,95,1,0,0,,,,,W2,,,2016,247
2016-09-02,06:48:11,1071612,1047,Mon,98,1,0,0,A,M,,,W2,,,2016,246
2016-09-03,06:48:14,1072001,1048,MonPalHen,1102,1,0,0,,,,,W2,,,2016,247
2016-09-09,06:48:19,1074757,1047,Mon,98,1,0,0,A,M,,,O,,,2016,253
2016-09-09,06:48:38,1074705,1048,MonPalHen,1102,1,0,0,,,,,E2,,,2016,253
2016-08-23,06:48:40,1067960,1047,Mon,98,1,0,0,A,M,,,E2,,,2016,236
2016-09-11,06:48:55,1075658,1047,MonPalHen,1102,3,0,0,,,,,E2,,,2016,255
2016-09-03,06:49:20,1072025,1047,Mar,95,1,0,0,,,,,E1,,,2016,247
2016-08-29,06:49:26,1070408,1048,Mon,98,1,0,0,A,M,,,W1,,,2016,242
2016-08-30,06:49:27,1070667,1048,HB,86,2,0,0,,,,,E2,,,2016,243
2016-09-13,06:49:45,1076557,1047,Mar,95,1,0,0,,FC,,,E3,,,2016,257
2016-08-30,06:49:47,1070667,1048,Mar,95,1,0,0,Non-Juv,F,,,E2,,,2016,243
2016-09-11,06:50:00,1075658,1047,Mon,98,1,0,0,Non-Juv,M,,,E2,,,2016,255
2016-09-03,06:50:09,1072025,1047,MonPalHen,1102,1,0,0,,,,,E1,,,2016,247
2016-09-08,06:50:20,1074461,1047,Mar,95,3,0,0,,,,,E3,,,2016,252
2016-09-12,06:50:25,1076147,1047,Mar,95,1,0,0,,,,,E2,,,2016,256
