"date","timestamp","telpost","speciesname","count","countback","local","location","age","sex","plumage","counttype","migtype","remark","yday","year"
"2016-08-17","06:41:00","1","START",1,"0","0","O","","","","","","",230,2016
"2016-08-17","17:20:00","1","BREAK",1,"0","0","O","","","","","","rain starts",230,2016
"2016-08-17","17:26:00","1","END",1,"0","0","O","","","","","","thunderstorm coming from the south",230,2016
"2016-08-17","07:50:00","2","START",2,"0","0","O","","","","","","",230,2016
"2016-08-17","17:26:00","2","BREAK",0,"0","0","O","","","","","","thunderstorm coming from the south",230,2016
"2016-08-17","17:26:00","2","END",0,"0","0","O","","","","","","",230,2016
"2016-08-18","06:27:00","1","START",0,"0","0","O","","","","","","",231,2016
"2016-08-18","18:09:00","1","END",0,"0","0","O","","","","","","",231,2016
"2016-08-18","07:03:00","2","START",9,"0","0","E3","","","","","","",231,2016
"2016-08-18","18:10:00","2","END",9,"0","0","E3","","","","","","",231,2016
"2016-08-19","06:26:00","1","START",1,"0","0","O","","","","","","",232,2016
"2016-08-19","18:06:00","1","END",1,"0","0","O","","","","","","",232,2016
"2016-08-19","06:26:00","2","START",1,"0","0","O","","","","","","",232,2016
"2016-08-19","18:06:00","2","END",1,"0","0","O","","","","","","",232,2016
"2016-08-20","06:25:00","1","START",0,"0","0","O","","","","","","",233,2016
"2016-08-20","18:05:00","1","END",0,"0","0","O","","","","","","",233,2016
"2016-08-20","07:01:00","2","START",0,"0","0","O","","","","","","",233,2016
"2016-08-20","18:05:00","2","END",0,"0","0","O","","","","","","",233,2016
"2016-08-21","06:20:00","1","START",1,"0","0","O","","","","","","",234,2016
"2016-08-21","18:03:00","1","END",1,"0","0","O","","","","","","",234,2016
"2016-08-21","06:58:00","2","START",1,"0","0","O","","","","","","",234,2016
"2016-08-21","18:03:00","2","END",1,"0","0","O","","","","","","",234,2016
"2016-08-22","06:25:00","1","START",0,"0","0","O","","","","","","",235,2016
"2016-08-22","18:10:00","1","START",0,"0","0","O","","","","","","",235,2016
"2016-08-22","07:01:00","2","START",1,"0","0","W1","","","","","","",235,2016
"2016-08-22","18:03:00","2","END",1,"0","0","W1","","","","","","",235,2016
"2016-08-23","06:26:00","1","START",1,"0","0","E3","","","","","","",236,2016
"2016-08-23","18:11:00","1","END",1,"0","0","E3","","","","","","",236,2016
"2016-08-23","07:03:00","2","START",1,"0","0","E2","","","","","","",236,2016
"2016-08-23","18:00:00","2","END",1,"0","0","E2","","","","","","",236,2016
"2016-08-24","06:38:00","1","START",1,"0","0","O","","","","","","",237,2016
"2016-08-24","18:35:00","1","END",1,"0","0","O","","","","","","",237,2016
"2016-08-24","07:15:00","2","START",1,"0","0","O","","","","","","",237,2016
"2016-08-24","19:06:01","2","END",1,"0","0","O","","","","","","",237,2016
"2016-08-25","06:26:00","1","START",1,"0","0","E2","","","","","","",238,2016
"2016-08-25","19:00:00","1","END",1,"0","0","E2","","","","","","",238,2016
"2016-08-25","06:36:00","2","START",1,"0","0","E2","","","","","","",238,2016
"2016-08-25","18:52:38","2","END",1,"0","0","E2","","","","","","",238,2016
"2016-08-26","06:25:00","1","START",1,"0","0","E2","","","","","","",239,2016
"2016-08-26","18:10:00","1","END",1,"0","0","E2","","","","","","",239,2016
"2016-08-26","06:31:00","2","START",1,"0","0","O","","","","","","",239,2016
"2016-08-26","10:30:00","2","BREAK",1,"0","0","-","","","","","","thunderstorm coming from the south",239,2016
"2016-08-26","12:10:00","2","RESUME",1,"0","0","-","","","","","","",239,2016
"2016-08-26","19:03:00","2","END",1,"0","0","O","","","","","","",239,2016
"2016-08-27","06:25:00","1","START",1,"0","0","E2","","","","","","",240,2016
