"date","timestamp","telpost","speciesname","count","countback","local","location","age","sex","plumage","counttype","migtype","remark","yday","year"
"2010-08-26","15:46:00","1","HB",1,"","","E1","","","","","k","shot",238,2010
"2010-08-26","15:54:00","1","HB",1,"","","E1","ad","f","","","k","shot",238,2010
"2010-09-02","12:11:00","1","HB",2,"","","E1","","","","","k","shot down",245,2010
"2010-09-02","12:41:00","1","HB",1,"","","E1","","","","","k","shot down",245,2010
"2010-09-02","13:22:00","1","HB",1,"","","W1","","","","","k","shot down",245,2010
"2010-09-02","13:22:00","1","HB",1,"","","W1","","","","","k","shot down",245,2010
"2010-09-15","14:40:00","1","Pal",1,"","","W1","juv","","","","i","shot in wing and broken leg",258,2010
"2010-09-20","16:31:00","1","BootedE",1,"","","O","","","","","k","shot dead",263,2010
"2010-09-21","13:51:00","1","HB",1,"","","W1","juv","","","","k","shut",264,2010
"2010-09-22","11:22:00","2","HB",1,"","","O","","","","","k","shot",265,2010
"2010-09-26","10:47:00","2","BootedE",1,"","","O","","","l","","k","poot uithangend  shot",269,2010
"2010-09-29","15:41:00","2","StepBuz",0,"","","W1","","","","","k","previously 1 - count on impulse but no monitoring this year -  shut down",272,2010
"2010-09-29","15:50:00","2","StepBuz",0,"","","W1","","","","","k","previously 1 - count on impulse but no monitoring this year -  shot down
",272,2010
"2010-09-29","16:04:00","2","LargeEAGLE",1,"","","W3","","","","dc","k","shot down",272,2010
"2010-10-05","14:19:00","2","StepBuz",0,"","","E2","","","","","k","previously 2 - count on impulse but no monitoring this year -  shot down",278,2010
"2010-10-07","15:51:00","2","GreaterSE",1,"","","W1","ad","","","","i","damaged plumage",280,2010
"2010-10-10","15:54:00","1","LesserSE",1,"","","E2","","","","","k","shot dead",283,2010
"2010-10-14","12:12:00","2","LesserSE",1,"","","E2","","","","","i","aangeschoten",287,2010
"2011-08-17","11:25:00","1","Mar",1,"","","E1","ad","","","","k","",229,2011
"2011-08-17","10:30:00","2","HB",4,"","","E2","","","","","i","one bird injured left wing",229,2011
"2011-08-19","13:57:00","2","BlackKite",1,"","","E1","","","","","k","shot",231,2011
"2011-08-21","11:38:00","2","HB_AD",1,"","","O","","f","","","k","",233,2011
"2011-08-23","13:50:00","2","HB",1,"","","O","","","","","k","shooted",235,2011
"2011-08-24","15:44:00","1","HB",68,"","","E3","","","","","k","",236,2011
"2011-08-25","15:34:00","2","BootedE",1,"","","E3","","","d","","k","",237,2011
"2011-08-28","08:02:00","1","MonPalHen",2,"","","E3","","","","","k","",240,2011
"2011-08-28","15:04:00","2","HB",1,"","","W2","","","","","k","",240,2011
"2011-08-28","15:59:00","2","HB",1,"","","O","","","","","k","",240,2011
"2011-08-29","10:36:00","2","HB",1,"","","E1","","","","","k","",241,2011
"2011-08-29","13:00:00","2","HB_AD",3,"","","O","","","","","k","",241,2011
"2011-08-30","11:59:00","2","HB_AD",1,"","","O","","","","","k","",242,2011
"2011-08-31","15:14:00","1","HB",1,"","","E3","","","","","i","Shot mark in wing",243,2011
"2011-08-31","11:19:00","2","HB",1,"","","O","","","","","k","",243,2011
"2011-09-01","10:34:00","1","Mon",1,"","","E2","juv","","","","k","",244,2011
"2011-09-01","09:33:00","2","HB",1,"","","W1","ad","","","","k","alive",244,2011
"2011-09-01","10:32:00","2","Mon",1,"","","W3","juv","","","","i","broken leg",244,2011
"2011-09-01","10:35:00","2","HB",1,"","","E1","","","","","k","alive",244,2011
"2011-09-01","10:36:00","2","HB_AD",1,"","","E1","","f","","","k","",244,2011
"2011-09-01","11:35:00","2","Mon",1,"","","W1","juv","","","","i","shot mark",244,2011
"2011-09-02","09:22:00","1","BlackKite",1,"","","W2","","","","","k","shooted",245,2011
"2011-09-02","09:23:00","2","HB",1,"","","O","","","","","k","",245,2011
"2011-09-02","09:56:00","2","HB",1,"","","W3","","","","","i","hurt by shot and hardly flying",245,2011
"2011-09-02","14:24:00","2","Mon",1,"","","W1","ad","m","","","k","",245,2011
"2011-09-02","15:04:00","2","MonPalHen",1,"","","O","","","","","k","",245,2011
"2011-09-02","15:06:00","2","HB",1,"","","O","ad","","","","k","",245,2011
"2011-09-02","15:30:00","2","BlackKite",1,"","","W1","","","","","k","",245,2011
"2011-09-02","15:49:00","2","Mar",1,"","","O","nonjuv","f","","","k","",245,2011
"2011-09-02","15:51:00","2","HB",1,"","","O","","","","","k","",245,2011
"2011-09-02","16:01:00","2","HB",1,"","","O","ad","","","","k","",245,2011
"2011-09-02","16:36:00","2","HB",1,"","","O","","","","","k","",245,2011
"2011-09-02","16:40:00","2","HB",1,"","","O","","","","","k","",245,2011
"2011-09-03","10:34:00","1","MonPalHen",1,"","","","","","","dc","k","",246,2011
"2011-09-03","07:52:00","2","Mon",1,"","","O","juv","","","","k","",246,2011
"2011-09-03","10:35:00","2","HB",1,"","","O","","","","","k","",246,2011
"2011-09-03","11:35:00","2","HB",1,"","","O","","","","","k","",246,2011
"2011-09-03","11:36:00","2","HB",1,"","","O","","","","","k","",246,2011
"2011-09-03","12:08:00","2","HB",1,"","","O","","","","","k","",246,2011
"2011-09-03","14:21:00","2","HB",2,"","","O","","","","","k","",246,2011
"2011-09-04","08:46:00","2","HB",1,"","","W1","","","","","k","",247,2011
"2011-09-04","08:53:00","2","HB",1,"","","W1","","","","","k","hb hit",247,2011
"2011-09-04","09:02:00","2","Mon",1,"","","E1","juv","","","","i","right wing damage by shot",247,2011
"2011-09-04","10:13:00","2","HB",1,"","","W1","","","","","k","",247,2011
"2011-09-04","10:37:00","2","MonPalHen",4,"","","","","","","","k","",247,2011
"2011-09-04","10:56:00","2","HB",1,"","","E1","","","","","k","shooted",247,2011
"2011-09-04","12:09:00","2","BlackKite",1,"","","O","","","","","k","",247,2011
"2011-09-04","14:10:00","2","HB",2,"","","O","","","","","k","",247,2011
"2011-09-04","17:30:00","2","HB",1,"","","E1","","","","","k","",247,2011
"2011-09-05","09:42:00","2","HB",1,"","","O","","","","","k","",248,2011
"2011-09-05","10:40:00","2","HB",1,"","","O","","","","","k","",248,2011
"2011-09-05","14:20:00","2","MediumRaptor",1,"","","W1","","","","","i","broken leg",248,2011
"2011-09-05","15:10:00","2","HB",1,"","","O","","","","","k","shot",248,2011
"2011-09-05","15:36:00","2","Roller",1,"","","W1","","","","","k","shot",248,2011
"2011-09-05","15:36:00","2","HB",1,"","","O","","","","","k","shot",248,2011
"2011-09-06","07:50:00","1","Mon",1,"","","E2","ad","m","","","k","",249,2011
"2011-09-06","15:16:00","2","MonPalHen",1,"","","O","","","","","i","no hand",249,2011
"2011-09-06","16:20:00","2","HB",1,"","","O","","","","","i","half wing",249,2011
"2011-09-11","10:33:00","1","HB",1,"","","O","ad","","","","i","shot on left wind",254,2011
"2011-09-12","12:58:00","2","HB",1,"","","W1","","","","","i","fucked up wing",255,2011
"2011-09-12","13:21:00","2","HB",1,"","","E1","","","","","i","has been shot  damaged wing.",255,2011
"2011-09-12","16:25:00","2","HB",5,"","","O","","","","","k","one bird had been shot.",255,2011
"2011-09-14","12:34:00","2","HB",2,"","","O","","","","","k","shot bird",257,2011
"2011-09-15","11:20:00","1","HB",6,"","","E1","","","","","k","shooted",258,2011
"2011-09-15","11:09:00","2","HB",1,"","","E2","","","","","i","shot left wing ",258,2011
"2011-09-16","10:51:00","1","Mon",1,"","","E1","juv","","","","k","shot",259,2011
"2011-09-16","16:54:00","2","Mar",1,"","","W1","juv","","","","k","shooted",259,2011
"2011-09-17","13:57:00","2","BlackKite",1,"","","E1","","","","","k","shot",260,2011
"2011-09-18","09:13:00","1","Mar",2,"","","E2","","","","","k","",261,2011
"2011-09-19","08:05:00","1","Mon",2,"","","W1","juv","","","","k","",262,2011
"2011-09-19","11:41:00","1","HB",7,"","","O","","","","","k","",262,2011
"2011-09-19","13:59:00","1","HB",1,"","","O","","","","","k","",262,2011
"2011-09-20","09:16:00","1","Mar",1,"","","W1","juv","","","","k","",263,2011
"2011-09-20","14:53:00","1","LesserSE",4,"","","E1","","","","","k","",263,2011
"2011-09-20","16:03:00","1","BootedE",1,"","","W1","","","d","","k","",263,2011
"2011-09-20","16:19:00","1","HB",21,"","","E2","","","","","k","",263,2011
"2011-09-20","14:41:00","2","HB",11,"","","E2","","","","","k","shoot bird right wing",263,2011
"2011-09-21","08:19:00","1","Mar",1,"","","E2","","fc","","","k","",264,2011
"2011-09-21","13:40:00","1","LesserSE",1,"","","E2","","","","","k","",264,2011
"2011-09-22","14:14:00","1","HB",8,"","","E2","","","","","k","",265,2011
"2011-09-23","09:19:00","1","Mar",1,"","","E1","juv","","","","i","broken leg",266,2011
"2011-09-23","13:46:00","1","BlackKite",1,"","","O","","","","","k","",266,2011
"2011-09-24","13:10:00","2","HB",1,"","","W1","","","","","i","shoot left wingand leg broken",267,2011
"2011-09-26","11:27:00","1","BootedE",1,"","","E3","","","l","","k","",269,2011
"2011-09-27","10:30:00","1","HB",5,"","","O","","","","","k","",270,2011
"2011-09-27","14:04:00","1","HB",1,"","","O","","","","","k","",270,2011
"2011-09-27","10:09:00","2","HB_JUV",1,"","","O","","","","","k","",270,2011
"2011-09-27","11:05:00","2","BootedE",1,"","","O","juv","","l","","k","shooted",270,2011
"2011-09-27","11:10:00","2","HB",1,"","","E1","","","","","k","shooted",270,2011
"2011-09-27","15:54:00","2","LesserSE",1,"","","W1","","","","","k","",270,2011
"2011-09-28","09:31:00","1","HB_JUV",1,"","","W2","","","","","i","shoot in right wing",271,2011
"2011-09-28","16:24:00","2","HB",1,"","","O","","","","","i","it had no tail",271,2011
"2011-10-01","09:42:00","2","StepBuz",0,"","","W3","","","","","k","previously 1 - count on impulse but no monitoring this year -  steppe buzard shot down",274,2011
"2011-10-02","10:16:00","2","HB",1,"","","W2","ad","","","","i","injured",275,2011
"2011-10-02","10:39:00","2","HB_JUV",1,"","","E1","","","","","k","shooted",275,2011
"2011-10-02","12:10:00","2","HB",1,"","","W3","","","","","i","injured",275,2011
"2011-10-03","16:20:00","2","StepBuz",0,"","","","","","","","k","previously 1 - count on impulse but no monitoring this year -  ",276,2011
"2011-10-05","13:59:00","2","LesserSE",1,"","","E2","nonjuv","","","","k","",278,2011
"2011-10-05","16:24:00","2","BlackKite",1,"","","E2","","","","","i","shot wing",278,2011
"2011-10-06","11:09:00","1","HB",3,"","","W1","","","","","k","",279,2011
"2011-10-06","12:35:00","1","HB",1,"","","W1","","","","","i","shot in the wing",279,2011
"2011-10-06","16:20:00","2","HB",1,"","","W1","","","","","k","shooted",279,2011
"2011-10-07","13:25:00","1","HB",1,"","","W1","","","","","i","broken leg",280,2011
"2011-10-08","12:33:00","2","LesserSE",1,"","","E3","","","","","i","broken leg",281,2011
"2011-10-09","13:30:00","1","BlackKite",2,"","","E2","","","","","k","",282,2011
"2011-10-09","11:30:00","2","HB",1,"","","E2","","","","","i","messed up left wing",282,2011
"2011-10-09","11:37:00","2","Mar",1,"","","W2","ad","m","","","i","broken leg",282,2011
"2011-10-11","14:36:00","2","Pal",1,"","","W3","nonjuv","m","","","i","broken leg",284,2011
"2011-10-12","10:10:00","1","BlackKite",1,"","","E1","","","","","i","not a healthy looking bird.",285,2011
"2011-10-14","08:50:00","2","HB",1,"","","E1","","","","","k","WAS a beautiful bird . . .",287,2011
"2011-10-14","08:51:00","2","HB_JUV",1,"","","E1","","","","","k","",287,2011
"2012-08-25","12:10:00","1","HB",1,"","","O","","","","","k","",238,2012
"2012-08-27","13:00:00","1","HB_AD",55,"","","O","","","","","k","",240,2012
"2012-08-30","17:28:00","2","Mon",1,"","","E1","nonjuv","f","","","k","",243,2012
"2012-08-31","16:32:00","2","HB",1,"","","O","","","","","k","",244,2012
"2012-09-02","14:04:00","2","HB",1,"","","O","","","","","k","",246,2012
"2012-09-02","15:18:00","2","Mon",1,"","","O","juv","","","","k","",246,2012
"2012-09-02","16:26:00","2","HB",1,"","","W1","ad","","","","k","",246,2012
"2012-09-02","17:06:00","2","MonPalHen",1,"","","O","","","","","k","",246,2012
"2012-09-03","11:47:00","1","BlackKite",1,"","","W2","","","","","k","",247,2012
"2012-09-03","11:54:00","1","HB",1,"","","W2","","","","","k","",247,2012
"2012-09-03","12:13:00","1","HB",1,"","","W2","","","","","k","",247,2012
"2012-09-03","12:25:00","1","HB",1,"","","W1","","","","","k","",247,2012
"2012-09-03","13:14:00","1","HB",1,"","","W2","","","","","k","",247,2012
"2012-09-03","07:33:00","2","HB",1,"","","O","","","","","k","",247,2012
"2012-09-03","07:43:00","2","HB",1,"","","O","","","","","k","",247,2012
"2012-09-03","07:59:00","2","HB",1,"","","O","","","","","k","",247,2012
"2012-09-03","12:54:00","2","HB",1,"","","O","","","","","k","",247,2012
"2012-09-03","13:34:00","2","HB",1,"","","O","","","","","k","",247,2012
"2012-09-03","14:54:00","2","HB",1,"","","O","","","","","k","",247,2012
"2012-09-03","14:57:00","2","HB",1,"","","O","","","","","k","",247,2012
"2012-09-03","15:07:00","2","HB",1,"","","O","","","","","k","",247,2012
"2012-09-03","15:14:00","2","HB",1,"","","O","","","","","k","",247,2012
"2012-09-03","15:19:00","2","HB",1,"","","O","","","","","k","",247,2012
"2012-09-03","15:24:00","2","HB",1,"","","O","","","","","k","",247,2012
"2012-09-03","15:34:00","2","HB",3,"","","O","","","","","k","",247,2012
"2012-09-03","16:38:00","2","HB",1,"","","O","","","","","k","",247,2012
"2012-09-03","16:39:00","2","HB",1,"","","W1","","","","","k","",247,2012
"2012-09-03","16:45:00","2","HB",1,"","","O","","","","","k","",247,2012
"2012-09-04","14:34:00","2","Mar",1,"","","O","","fc","","","i","without tail",248,2012
"2012-09-10","08:44:00","1","MonPalHen",1,"","","W2","","","","","k","",254,2012
"2012-09-10","10:35:00","2","HB",1,"","","O","","","","","k","",254,2012
"2012-09-10","10:38:00","2","HB",1,"","","O","","","","","k","",254,2012
"2012-09-14","11:54:00","2","StepBuz",1,"","","E2","","","","","k","",258,2012
"2012-09-15","10:17:00","2","HB",1,"","","E1","","","","","k","",259,2012
"2012-09-19","13:27:00","1","BlackKite",1,"","","O","","","","","k","",263,2012
