"","species","dcdel1","dcdel2"
"1","BlackKite",-532,-5462
"2","BlackKite_JUV",0,0
"3","BlackKite_NONJUV",0,0
"4","BlackStork",-2,-111
"5","BlackV",0,0
"6","BootedE",-52,-75
"7","BREAK",0,0
"8","CommonBuz",0,0
"9","CrestedHB",0,0
"10","EgyptianV",0,0
"11","EleonoraF",0,0
"12","end",0,0
"13","EurasianCrane",0,-1
"14","Falcon-SPEC",0,0
"15","GreaterSE",0,-2
"16","GriffonV",0,0
"17","Harrier-SPEC",-5,0
"18","HB",-193,-432
"19","HB_AD",0,0
"20","HB_JUV",0,0
"21","Hen",0,0
"22","ImperialE",0,0
"23","LargeEAGLE",-67,-58
"24","LargeFALCON",0,0
"25","LesserSE",-16,-61
"26","LevantSH",0,-6
"27","LongLB",0,0
"28","Mar",-114,-123
"29","MediumRaptor",-1885,-567
"30","Mon",-10,-38
"31","MonPalHen",-140,-65
"32","Oriental.TurtleD",0,0
"33","Osprey",-2,0
"34","Pal",0,-11
"35","Peregrine",0,0
"36","Pernis-SPEC",0,0
"37","Raptor-SPEC",-1,0
"38","RedFF",0,0
"39","RESUME",0,0
"40","Roller",0,0
"41","ShortTE",-19,-6
"42","SHOT",0,0
"43","start",0,0
"44","StepBuz",-99,-3766
"45","SteppeE",0,-2
"46","StockD",0,0
"47","TurtleD",0,0
"48","WhiteStork",0,-1
"49","WhiteTE",0,0
"50","WoodP",0,0
