"","id","date","time","species","number_new","number_ori","numberN","station","location","age","sex","morph","ctype","mtype","remark","dckept","dcdel","dcremark"
"1",1,2009-08-21,"08:52:00","HB",1,1,0,2,"W1","","","","","","",0,0,""
"2",2,2009-08-21,"08:57:00","HB",1,1,0,2,"E1","","","","","","",0,0,""
"3",3,2009-08-21,"09:13:00","HB",2,2,0,2,"O","","","","","","",0,0,""
"4",4,2009-08-21,"09:13:00","Mon",2,2,0,2,"W1","ad","f","","","","",0,0,""
"5",5,2009-08-21,"09:13:00","Mon",1,1,0,2,"W1","","fc","","","","",0,0,""
"6",6,2009-08-21,"09:13:00","Mon",1,1,0,2,"W1","ad","m","","","","",0,0,""
"7",7,2009-08-21,"09:15:00","HB",11,11,0,2,"E1","","","","","","",0,0,""
"8",8,2009-08-21,"09:15:00","Mar",2,2,0,2,"E1","","","","","","",0,0,""
"9",9,2009-08-21,"09:15:00","Mon",1,1,0,2,"E1","","fc","","","","",0,0,""
"10",10,2009-08-21,"09:15:00","Mon",1,1,0,2,"E1","ad","m","","","","",0,0,""
"11",11,2009-08-21,"09:18:00","Mon",1,1,0,2,"O","imm","m","","","","",0,0,""
"12",12,2009-08-21,"09:20:00","HB",1,1,0,2,"E2","ad","","","","","",0,0,""
"13",13,2009-08-21,"09:22:00","HB",1,1,0,2,"E1","ad","","","","","",0,0,""
"14",14,2009-08-21,"09:22:00","HB",1,1,0,2,"E1","juv","","","","","",0,0,""
"15",15,2009-08-21,"09:25:00","HB",10,10,0,2,"O","","","","","","",0,0,""
"16",16,2009-08-21,"09:28:00","BlackKite",1,1,0,2,"W3","ad","","","","","",0,0,""
"17",17,2009-08-21,"09:31:00","HB",2,2,0,2,"E2","ad","","","","","",0,0,""
"18",18,2009-08-21,"09:33:00","HB",1,1,0,2,"E1","ad","","","","","",0,0,""
"19",19,2009-08-21,"09:34:00","HB",1,1,0,2,"O","ad","f","","","","",0,0,""
"20",20,2009-08-21,"09:36:00","CommonBuz",1,1,0,2,"O","ad","","","","","",0,0,""
"21",21,2009-08-21,"09:36:00","HB",1,1,0,2,"O","juv","","","","","",0,0,""
"22",22,2009-08-21,"09:36:00","HB",2,2,0,2,"O","","","","","","",0,0,""
"23",23,2009-08-21,"09:39:00","CommonBuz",1,1,0,2,"O","","","","","","",0,0,""
"24",24,2009-08-21,"09:46:00","EurasianSH",1,1,0,2,"O","nonjuv","f","","","","",0,0,""
"25",25,2009-08-21,"09:46:00","HB",2,2,0,2,"O","ad","","","","","",0,0,""
"26",26,2009-08-21,"09:47:00","HB",2,2,0,2,"E3","","","","","","",0,0,""
"27",27,2009-08-21,"09:49:00","HB",3,3,0,2,"E3","ad","","","","","",0,0,""
"28",28,2009-08-21,"09:54:00","BootedE",1,1,0,2,"O","","","","","","",0,0,""
"29",29,2009-08-21,"09:59:00","HB",36,36,0,2,"E3","","","","","","",0,0,""
"30",30,2009-08-21,"09:59:00","StepBuz",2,2,0,2,"E3","","","","","","",0,0,""
"31",31,2009-08-21,"10:03:00","HB",5,5,0,2,"E1","","","","","","",0,0,""
"32",32,2009-08-21,"10:09:00","HB",6,6,0,2,"E1","","","","","","",0,0,""
"33",33,2009-08-21,"10:14:00","HB",16,16,0,2,"O","ad","","","","","",0,0,""
"34",34,2009-08-21,"10:16:00","Mon",2,2,0,2,"E2","ad","m","","","","",0,0,""
"35",35,2009-08-21,"10:16:00","Mon",1,1,0,2,"E2","juv","","","","","",0,0,""
"36",36,2009-08-21,"10:17:00","HB",1,1,0,2,"O","ad","","","","","",0,0,""
"37",37,2009-08-21,"10:18:00","HB",10,10,0,2,"O","ad","","","","","",0,0,""
"38",38,2009-08-21,"10:23:00","Mon",1,1,0,2,"O","ad","f","","","","",0,0,""
"39",39,2009-08-21,"10:23:00","Mon",3,3,0,2,"O","nonjuv","m","","","","",0,0,""
"40",40,2009-08-21,"10:23:00","Mon",2,2,0,2,"O","juv","","","","","",0,0,""
"41",41,2009-08-21,"10:24:00","Mon",4,4,0,2,"O","ad","f","","","","",0,0,""
"42",42,2009-08-21,"10:25:00","Mon",4,4,0,2,"O","ad","m","","","","",0,0,""
"43",43,2009-08-21,"10:31:00","HB",5,5,0,2,"O","ad","","","","","",0,0,""
"44",44,2009-08-21,"10:36:00","HB",27,27,0,2,"E2","ad","","","","","",0,0,""
"45",45,2009-08-21,"10:38:00","CommonBuz",1,1,0,2,"O","ad","","","","","",0,0,""
"46",46,2009-08-21,"10:38:00","GoldenE",1,1,0,2,"O","","","","","","",0,0,""
"47",47,2009-08-21,"10:44:00","HB",55,55,0,2,"E1","ad","","","","","",0,0,""
"48",48,2009-08-21,"10:55:00","Mon",1,1,0,2,"O","nonjuv","f","","","","",0,0,""
"49",49,2009-08-21,"10:56:00","Mon",1,1,0,2,"O","nonjuv","f","","","","",0,0,""
"50",50,2009-08-21,"10:56:00","Mon",1,1,0,2,"O","nonjuv","m","","","","",0,0,""
"51",51,2009-08-21,"10:58:00","BootedE",1,1,0,2,"E1","","","","","","",0,0,""
"52",52,2009-08-21,"11:02:00","Mon",2,2,0,2,"O","nonjuv","f","","","","",0,0,""
"53",53,2009-08-21,"11:03:00","Mon",1,1,0,2,"O","nonjuv","m","","","","",0,0,""
"54",54,2009-08-21,"11:04:00","HB",1,1,0,2,"O","ad","","","","","",0,0,""
"55",55,2009-08-21,"11:05:00","HB",14,14,0,2,"E2","ad","","","","","",0,0,""
"56",56,2009-08-21,"11:15:00","Peregrine",1,1,0,1,"E1","","","","","","",0,0,""
"57",57,2009-08-21,"11:16:00","Mon",1,1,0,2,"O","ad","m","","","","",0,0,""
"58",58,2009-08-21,"11:19:00","HB",1,1,0,2,"O","","","","","","",0,0,""
"59",59,2009-08-21,"11:21:00","Mar",1,1,0,2,"O","","","","","","",0,0,""
"60",60,2009-08-21,"11:21:00","Mon",1,1,0,2,"E2","","fc","","","","",0,0,""
"61",61,2009-08-21,"11:31:00","HB",14,14,0,2,"E3","ad","","","","","",0,0,""
"62",62,2009-08-21,"11:34:00","HB",8,8,0,2,"E3","","","","","","",0,0,""
"63",63,2009-08-21,"11:34:00","Mon",1,1,0,2,"E3","nonjuv","f","","","","",0,0,""
"64",64,2009-08-21,"11:34:00","Mon",1,1,0,2,"E3","nonjuv","m","","","","",0,0,""
"65",65,2009-08-21,"11:38:00","HB",3,3,0,2,"E3","","","","","","",0,0,""
