"","id","date","time","species","number_new","number_ori","numberN","station","location","age","sex","morph","ctype","mtype","remark","dckept","dcdel","dcremark"
"1",1,2010-08-18,"12:45:00","HB",9,9,0,1,"E3","","","","","","",0,0,""
"2",2,2010-08-18,"12:55:00","HB",30,30,0,1,"E3","","","","","","",0,0,""
"3",3,2010-08-18,"13:20:00","Mar",1,1,0,1,"W1","ad","f","","","","active flight",0,0,""
"4",4,2010-08-18,"13:20:00","HB",1,1,0,1,"W2","","","","","","active flight",0,0,""
"5",5,2010-08-18,"15:25:00","HB",12,12,0,1,"E3","juv","","","","","",0,0,""
"6",6,2010-08-18,"15:30:00","HB",11,11,0,1,"E3","","","","","","",0,0,""
"7",7,2010-08-18,"15:35:00","LargeFALCON",1,1,0,1,"E3","","","","","","big unidentified falcon",0,0,""
"8",8,2010-08-18,"15:35:00","HB",1,1,0,1,"E3","","","","","","",0,0,""
"9",9,2010-08-18,"15:50:00","HB",4,4,0,1,"E3","","","","","","",0,0,""
"10",10,2010-08-18,"16:55:00","Mar",1,1,0,1,"E3","juv","","","","","",0,0,""
"11",11,2010-08-18,"16:55:00","HB",1,1,0,1,"E3","","","","","","",0,0,""
"12",12,2010-08-18,"17:10:00","HB",3,3,0,1,"E3","","","","","","",0,0,""
"13",13,2010-08-18,"17:10:00","HB",1,1,0,1,"E2","","","","","","",0,0,""
"14",14,2010-08-18,"17:50:00","HB",16,16,0,1,"O","","","","","","from the North  going W",0,0,""
"15",15,2010-08-19,"08:45:00","Roller",2,2,0,1,"E1","","","","","","",0,0,""
"16",16,2010-08-19,"10:25:00","Kestrel-SPEC",0,0,0,1,"E2","","fc","","","","previously 1 - count on impulse but no monitoring this year -  from sea inland",0,0,""
"17",17,2010-08-19,"10:30:00","HB",1,1,0,1,"O","","","","","","And one local SB",0,0,""
"18",18,2010-08-19,"11:50:00","HB",2,2,0,1,"E3","","","","","","",0,0,""
"19",19,2010-08-19,"11:55:00","MediumRaptor",2,2,0,1,"E2","","","","","","",0,0,""
"20",20,2010-08-19,"12:00:00","MediumRaptor",198,198,0,1,"E3","","","","","","",0,0,""
"21",21,2010-08-19,"12:00:00","HB",96,96,0,1,"E2","","","","","","",0,0,""
"22",22,2010-08-19,"12:10:00","HB",135,135,0,1,"E2","","","","","","",0,0,""
"23",23,2010-08-19,"12:20:00","HB",78,78,0,1,"E2","","","","","","",0,0,""
