"date","timestamp","telpost","speciesname","speciesid","count","countback","local","location","age","sex","plumage","counttype","migtype","remark","yday","year"
"2012-08-17","08:43:00","1","Peregrine",115,1,"","","W2","imm","","","","","",230,2012
"2012-08-17","14:19:00","1","HB",86,1,"","","E1","","","","","","",230,2012
"2012-08-17","14:54:00","1","Pal",97,1,"","","W2","juv","","","","","",230,2012
"2012-08-17","16:21:00","1","Roller",255,11,"","","W1","","","","","","",230,2012
"2012-08-18","07:43:00","1","Mar",95,1,"","","E3","nonjuv","m","","","","",231,2012
"2012-08-18","07:44:00","1","Mar",95,1,"","","E3","","fc","","","","",231,2012
"2012-08-18","07:51:00","1","Roller",255,5,"","","E2","","","","","","",231,2012
"2012-08-18","07:54:00","1","Roller",255,2,"","","E1","","","","","","",231,2012
"2012-08-18","08:06:00","1","Mar",95,1,"","","W1","ad","m","","","","",231,2012
"2012-08-18","08:30:00","1","Mar",95,1,"","","E3","","fc","","","","",231,2012
"2012-08-18","08:30:00","1","Mar",95,1,"","","E3","nonjuv","m","","","","",231,2012
"2012-08-18","08:32:00","1","HB",86,1,"","","E3","ad","m","","","","",231,2012
"2012-08-18","08:36:00","1","Mar",95,1,"","","E2","","fc","","","","",231,2012
"2012-08-18","09:02:00","1","Mar",95,1,"","","W2","ad","f","","","","",231,2012
"2012-08-18","09:14:00","1","Mar",95,1,"","","W2","nonjuv","f","","","","",231,2012
"2012-08-18","10:31:00","1","Roller",255,12,"","","W1","","","","","","",231,2012
"2012-08-18","10:34:00","1","HB",86,1,"","","E3","","","","","","",231,2012
"2012-08-18","10:38:00","1","HB",86,1,"","","E3","","","","","","",231,2012
"2012-08-18","10:38:00","1","HB",86,1,"","","E3","","","","","","",231,2012
"2012-08-18","10:38:00","1","ShortTE",94,1,"","","E3","","","","","","",231,2012
"2012-08-18","10:47:00","1","Mar",95,1,"","","E3","","","","","","",231,2012
"2012-08-18","10:52:00","1","HB",86,2,"","","E2","","","","","","",231,2012
"2012-08-18","11:14:00","1","HB",86,5,"","","E3","","","","","","",231,2012
"2012-08-18","11:43:00","1","HB",86,4,"","","E2","ad","","","","","",231,2012
"2012-08-18","11:48:00","1","BootedE",592,1,"","","E2","nonjuv","","d","","","",231,2012
"2012-08-18","11:51:00","1","ShortTE",94,2,"","","E2","","","","","","",231,2012
"2012-08-18","11:53:00","1","HB",86,3,"","","E3","","","","","","",231,2012
"2012-08-18","12:12:00","1","HB",86,27,"","","E3","","","","","","",231,2012
"2012-08-18","12:22:00","1","HB",86,45,"","","E3","","","","","","",231,2012
"2012-08-18","12:23:00","1","Pal",97,1,"","","E3","ad","m","","","","",231,2012
"2012-08-18","12:39:00","1","HB",86,4,"","","E3","","","","","","",231,2012
"2012-08-18","13:11:00","1","BlackKite",88,1,"","","O","","","","","","",231,2012
"2012-08-18","13:11:00","1","BK_JUV",-92,1,"","","O","","","","","","",231,2012
"2012-08-18","13:14:00","1","HB",86,1,"","","E2","","","","","","",231,2012
"2012-08-18","13:37:00","1","HB",86,4,"","","E3","","","","","","",231,2012
"2012-08-18","13:56:00","1","HB",86,5,"","","E3","","","","","","",231,2012
"2012-08-18","14:07:00","1","HB",86,9,"","","E1","","","","","","",231,2012
"2012-08-18","14:07:00","1","HB_AD",-90,5,"","","E1","","f","","","","",231,2012
"2012-08-18","14:08:00","1","HB_AD",-90,1,"","","E1","","m","","","","",231,2012
"2012-08-18","14:11:00","1","HB",86,7,"","","E2","","","","","","",231,2012
"2012-08-18","14:20:00","1","BootedE",592,1,"","","O","nonjuv","","d","","","",231,2012
"2012-08-18","14:29:00","1","HB",86,54,"","","E2","","","","","","",231,2012
"2012-08-18","14:29:00","1","BlackKite",88,2,"","","E2","","","","","","",231,2012
"2012-08-18","14:48:00","1","HB",86,3,"","","E3","","","","","","",231,2012
