"","species","dcdel1","dcdel2"
"1","BK_JUV",0,0
"2","BK_NONJUV",0,0
"3","BlackKite",-1346,-4090
"4","BlackV",0,0
"5","BlaStork",-51,-17
"6","BootedE",-126,-156
"7","Buzzard-SPEC",0,0
"8","CrestedHB",0,0
"9","EgyptianV",-1,0
"10","EleonoraF",0,0
"11","EurasianCrane",0,0
"12","GreaterSE",0,0
"13","GriffonV",0,0
"14","Harrier-SPEC",0,0
"15","HB",-367,-1005
"16","HB_AD",0,0
"17","HB_JUV",0,0
"18","Hen",0,0
"19","ImperialE",0,0
"20","LannerF",0,0
"21","LargeEAGLE",-126,-135
"22","LargeFALCON",0,0
"23","LesserSE",-58,-150
"24","Mar",-243,-198
"25","MediumRaptor",-975,-347
"26","Mon",-17,-26
"27","MonPalHen",-328,-259
"28","Osprey",-1,-1
"29","Pal",0,0
"30","Peregrine",0,0
"31","Roller",0,-80
"32","SakerF",0,0
"33","ShortTE",-16,-50
"34","StepBuz",0,0
"35","SteppeE",0,-1
"36","WhiStork",-330,-3
"37","WhiteTE",0,0
